frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp
1,data/frames/game_6/frame_000001.jpg,,1ST,10,False,False,False,,1ST,10,0.00,,2025-11-13 21:45:30.755446
2,data/frames/game_6/frame_000002.jpg,,1ST,10,False,False,False,,1ST,10,0.00,,2025-11-13 21:45:30.755446
3,data/frames/game_6/frame_000003.jpg,,1ST,10,False,False,False,,1ST,10,0.00,,2025-11-13 21:45:30.755446
4,data/frames/game_6/frame_000004.jpg,,1ST,10,False,False,False,,1ST,10,0.00,,2025-11-13 21:45:30.755446
5,data/frames/game_6/frame_000005.jpg,,1ST,10,False,False,False,,1ST,10,0.00,,2025-11-13 21:45:30.755446
6,data/frames/game_6/frame_000006.jpg,00:53,1ST,09,True,False,False,,1ST,09,0.70,forward_extrapolation,2025-11-13 21:45:30.755446
7,data/frames/game_6/frame_000007.jpg,00:52,1ST,09,True,False,False,,1ST,09,0.70,forward_extrapolation,2025-11-13 21:45:30.755446
8,data/frames/game_6/frame_000008.jpg,00:52,1ST,40,True,False,False,,1ST,40,0.70,forward_extrapolation,2025-11-13 21:45:30.755446
9,data/frames/game_6/frame_000009.jpg,00:51,1ST,40,True,False,False,,1ST,40,0.70,forward_extrapolation,2025-11-13 21:45:30.755446
10,data/frames/game_6/frame_000010.jpg,00:51,1ST,40,True,False,False,,1ST,40,0.70,forward_extrapolation,2025-11-13 21:45:30.755446
11,data/frames/game_6/frame_000011.jpg,00:50,1ST,40,False,False,False,00:50,1ST,40,0.00,,2025-11-13 21:45:30.755446
12,data/frames/game_6/frame_000012.jpg,00:50,1ST,40,False,False,False,00:50,1ST,40,0.00,,2025-11-13 21:45:30.755446
13,data/frames/game_6/frame_000013.jpg,00:49,1ST,40,False,False,False,00:49,1ST,40,0.00,,2025-11-13 21:45:30.755446
14,data/frames/game_6/frame_000014.jpg,00:48,1ST,40,True,False,False,,1ST,40,0.90,linear_interpolation,2025-11-13 21:45:30.755446
15,data/frames/game_6/frame_000015.jpg,00:48,1ST,40,False,False,False,00:48,1ST,40,0.00,,2025-11-13 21:45:30.755446
16,data/frames/game_6/frame_000016.jpg,00:48,1ST,40,False,False,False,00:48,1ST,40,0.00,,2025-11-13 21:45:30.755446
17,data/frames/game_6/frame_000017.jpg,00:47,1ST,40,False,False,False,00:47,1ST,40,0.00,,2025-11-13 21:45:30.755446
