frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp,expected_game_time,expected_period,expected_play_clock
1,data/frames/game_6/frame_000001.jpg,,1ST,10,FALSE,FALSE,FALSE,,1ST,10,0,,45:30.8,,1ST,10
2,data/frames/game_6/frame_000002.jpg,,1ST,10,FALSE,FALSE,FALSE,,1ST,10,0,,45:30.8,,1ST,10
3,data/frames/game_6/frame_000003.jpg,,1ST,10,FALSE,FALSE,FALSE,,1ST,10,0,,45:30.8,,1ST,10
4,data/frames/game_6/frame_000004.jpg,,1ST,10,FALSE,FALSE,FALSE,,1ST,10,0,,45:30.8,,1ST,10
5,data/frames/game_6/frame_000005.jpg,,1ST,10,FALSE,FALSE,FALSE,,1ST,10,0,,45:30.8,,1ST,10
6,data/frames/game_6/frame_000006.jpg,0:53,1ST,9,TRUE,FALSE,FALSE,,1ST,9,0.7,forward_extrapolation,45:30.8,0:53,1ST,9
7,data/frames/game_6/frame_000007.jpg,0:52,1ST,9,TRUE,FALSE,FALSE,,1ST,9,0.7,forward_extrapolation,45:30.8,0:52,1ST,9
8,data/frames/game_6/frame_000008.jpg,0:52,1ST,40,TRUE,FALSE,FALSE,,1ST,40,0.7,forward_extrapolation,45:30.8,0:52,1ST,40
9,data/frames/game_6/frame_000009.jpg,0:51,1ST,40,TRUE,FALSE,FALSE,,1ST,40,0.7,forward_extrapolation,45:30.8,0:51,1ST,40
10,data/frames/game_6/frame_000010.jpg,0:51,1ST,40,TRUE,FALSE,FALSE,,1ST,40,0.7,forward_extrapolation,45:30.8,0:51,1ST,40
11,data/frames/game_6/frame_000011.jpg,0:50,1ST,40,FALSE,FALSE,FALSE,0:50,1ST,40,0,,45:30.8,0:50,1ST,40
12,data/frames/game_6/frame_000012.jpg,0:50,1ST,40,FALSE,FALSE,FALSE,0:50,1ST,40,0,,45:30.8,0:50,1ST,40
13,data/frames/game_6/frame_000013.jpg,0:49,1ST,40,FALSE,FALSE,FALSE,0:49,1ST,40,0,,45:30.8,0:49,1ST,40
14,data/frames/game_6/frame_000014.jpg,0:48,1ST,40,TRUE,FALSE,FALSE,,1ST,40,0.9,linear_interpolation,45:30.8,0:49,1ST,40
15,data/frames/game_6/frame_000015.jpg,0:48,1ST,40,FALSE,FALSE,FALSE,0:48,1ST,40,0,,45:30.8,0:48,1ST,40
16,data/frames/game_6/frame_000016.jpg,0:48,1ST,40,FALSE,FALSE,FALSE,0:48,1ST,40,0,,45:30.8,0:48,1ST,40
17,data/frames/game_6/frame_000017.jpg,0:47,1ST,40,FALSE,FALSE,FALSE,0:47,1ST,40,0,,45:30.8,0:47,1ST,40
18,data/frames/game_6/frame_000018.jpg,0:47,1ST,40,FALSE,FALSE,FALSE,0:47,1ST,40,0,,45:30.8,0:47,1ST,40
19,data/frames/game_6/frame_000019.jpg,0:46,1ST,40,TRUE,FALSE,FALSE,,1ST,40,0.9,linear_interpolation,45:30.8,0:46,1ST,40
20,data/frames/game_6/frame_000020.jpg,0:46,1ST,40,TRUE,FALSE,FALSE,,1ST,40,0.9,linear_interpolation,45:30.8,0:46,1ST,40
21,data/frames/game_6/frame_000021.jpg,0:45,1ST,40,FALSE,FALSE,FALSE,0:45,1ST,40,0,,45:30.8,0:45,1ST,40
22,data/frames/game_6/frame_000022.jpg,0:45,1ST,40,FALSE,FALSE,FALSE,0:45,1ST,40,0,,45:30.8,0:45,1ST,40
23,data/frames/game_6/frame_000023.jpg,0:44,1ST,40,FALSE,FALSE,FALSE,0:44,1ST,40,0,,45:30.8,0:44,1ST,40
24,data/frames/game_6/frame_000024.jpg,0:44,1ST,40,FALSE,FALSE,FALSE,0:44,1ST,40,0,,45:30.8,0:44,1ST,40
25,data/frames/game_6/frame_000025.jpg,0:43,1ST,40,FALSE,FALSE,FALSE,0:43,1ST,40,0,,45:30.8,0:43,1ST,40
26,data/frames/game_6/frame_000026.jpg,0:43,1ST,40,FALSE,FALSE,FALSE,0:43,1ST,40,0,,45:30.8,0:43,1ST,40
27,data/frames/game_6/frame_000027.jpg,0:42,1ST,39,FALSE,FALSE,FALSE,0:42,1ST,39,0,,45:30.8,0:42,1ST,39
28,data/frames/game_6/frame_000028.jpg,0:42,1ST,39,FALSE,FALSE,FALSE,0:42,1ST,39,0,,45:30.8,0:42,1ST,39
29,data/frames/game_6/frame_000029.jpg,0:41,1ST,38,FALSE,FALSE,FALSE,0:41,1ST,38,0,,45:30.8,0:41,1ST,38
30,data/frames/game_6/frame_000030.jpg,0:41,1ST,38,FALSE,FALSE,FALSE,0:41,1ST,38,0,,45:30.8,0:41,1ST,38
31,data/frames/game_6/frame_000031.jpg,0:40,1ST,37,FALSE,FALSE,FALSE,0:40,1ST,37,0,,45:30.8,0:40,1ST,37
32,data/frames/game_6/frame_000032.jpg,0:40,1ST,37,FALSE,FALSE,FALSE,0:40,1ST,37,0,,45:30.8,0:40,1ST,37
33,data/frames/game_6/frame_000033.jpg,0:39,1ST,36,FALSE,FALSE,FALSE,0:39,1ST,36,0,,45:30.8,0:39,1ST,36
34,data/frames/game_6/frame_000034.jpg,0:39,1ST,36,FALSE,FALSE,FALSE,0:39,1ST,36,0,,45:30.8,0:39,1ST,36
35,data/frames/game_6/frame_000035.jpg,0:38,1ST,35,FALSE,FALSE,FALSE,0:38,1ST,35,0,,45:30.8,0:38,1ST,35
36,data/frames/game_6/frame_000036.jpg,0:38,1ST,35,FALSE,FALSE,FALSE,0:38,1ST,35,0,,45:30.8,0:38,1ST,35
37,data/frames/game_6/frame_000037.jpg,0:37,1ST,34,FALSE,FALSE,FALSE,0:37,1ST,34,0,,45:30.8,0:37,1ST,34
38,data/frames/game_6/frame_000038.jpg,0:37,1ST,34,FALSE,FALSE,FALSE,0:37,1ST,34,0,,45:30.8,0:37,1ST,34
39,data/frames/game_6/frame_000039.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
40,data/frames/game_6/frame_000040.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
41,data/frames/game_6/frame_000041.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
42,data/frames/game_6/frame_000042.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
43,data/frames/game_6/frame_000043.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
44,data/frames/game_6/frame_000044.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
45,data/frames/game_6/frame_000045.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
46,data/frames/game_6/frame_000046.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
47,data/frames/game_6/frame_000047.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
48,data/frames/game_6/frame_000048.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
49,data/frames/game_6/frame_000049.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
50,data/frames/game_6/frame_000050.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
51,data/frames/game_6/frame_000051.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
52,data/frames/game_6/frame_000052.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
53,data/frames/game_6/frame_000053.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
54,data/frames/game_6/frame_000054.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
55,data/frames/game_6/frame_000055.jpg,0:00,,,FALSE,FALSE,FALSE,0:00,,,0,,45:30.8,0:00,,
56,data/frames/game_6/frame_000056.jpg,,1ST,25,FALSE,FALSE,FALSE,,1ST,25,0,,45:30.8,,1ST,25
57,data/frames/game_6/frame_000057.jpg,,1ST,24,FALSE,FALSE,FALSE,,1ST,24,0,,45:30.8,,1ST,24
58,data/frames/game_6/frame_000058.jpg,,1ST,24,FALSE,FALSE,FALSE,,1ST,24,0,,45:30.8,,1ST,24
59,data/frames/game_6/frame_000059.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
60,data/frames/game_6/frame_000060.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
61,data/frames/game_6/frame_000061.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
62,data/frames/game_6/frame_000062.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
63,data/frames/game_6/frame_000063.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
64,data/frames/game_6/frame_000064.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
65,data/frames/game_6/frame_000065.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
66,data/frames/game_6/frame_000066.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
67,data/frames/game_6/frame_000067.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
68,data/frames/game_6/frame_000068.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
69,data/frames/game_6/frame_000069.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
70,data/frames/game_6/frame_000070.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
71,data/frames/game_6/frame_000071.jpg,,1ST,40,FALSE,FALSE,FALSE,,1ST,40,0,,45:30.8,,1ST,40
72,data/frames/game_6/frame_000072.jpg,0:20,1ST,40,TRUE,FALSE,FALSE,,1ST,40,0.7,forward_extrapolation,45:30.8,0:20,1ST,40
73,data/frames/game_6/frame_000073.jpg,0:19,1ST,39,TRUE,FALSE,FALSE,,1ST,39,0.7,forward_extrapolation,45:30.8,0:19,1ST,39
74,data/frames/game_6/frame_000074.jpg,0:19,1ST,39,TRUE,FALSE,FALSE,,1ST,39,0.7,forward_extrapolation,45:30.8,0:19,1ST,39
75,data/frames/game_6/frame_000075.jpg,0:18,1ST,38,TRUE,FALSE,FALSE,,1ST,38,0.7,forward_extrapolation,45:30.8,0:18,1ST,38
76,data/frames/game_6/frame_000076.jpg,0:18,1ST,38,TRUE,FALSE,FALSE,,1ST,38,0.7,forward_extrapolation,45:30.8,0:18,1ST,38
77,data/frames/game_6/frame_000077.jpg,0:17,1ST,37,FALSE,FALSE,FALSE,0:17,1ST,37,0,,45:30.8,0:17,1ST,37
78,data/frames/game_6/frame_000078.jpg,0:16,1ST,37,TRUE,FALSE,FALSE,,1ST,37,0.9,linear_interpolation,45:30.8,0:17,1ST,37
79,data/frames/game_6/frame_000079.jpg,0:16,1ST,36,TRUE,FALSE,FALSE,,1ST,36,0.9,linear_interpolation,45:30.8,0:16,1ST,36
80,data/frames/game_6/frame_000080.jpg,0:15,1ST,36,TRUE,FALSE,FALSE,,1ST,36,0.9,linear_interpolation,45:30.8,0:16,1ST,36
81,data/frames/game_6/frame_000081.jpg,0:15,1ST,35,TRUE,FALSE,FALSE,,1ST,35,0.9,linear_interpolation,45:30.8,0:15,1ST,35
82,data/frames/game_6/frame_000082.jpg,0:14,1ST,35,TRUE,FALSE,FALSE,,1ST,35,0.9,linear_interpolation,45:30.8,0:15,1ST,35
83,data/frames/game_6/frame_000083.jpg,0:14,1ST,34,TRUE,FALSE,FALSE,,1ST,34,0.9,linear_interpolation,45:30.8,0:14,1ST,34
84,data/frames/game_6/frame_000084.jpg,0:13,1ST,34,TRUE,FALSE,FALSE,,1ST,34,0.9,linear_interpolation,45:30.8,0:14,1ST,34
85,data/frames/game_6/frame_000085.jpg,0:13,1ST,33,TRUE,FALSE,FALSE,,1ST,33,0.9,linear_interpolation,45:30.8,0:13,1ST,33
86,data/frames/game_6/frame_000086.jpg,0:12,1ST,33,TRUE,FALSE,FALSE,,1ST,33,0.9,linear_interpolation,45:30.8,0:13,1ST,33
87,data/frames/game_6/frame_000087.jpg,0:12,1ST,32,FALSE,FALSE,FALSE,0:12,1ST,32,0,,45:30.8,0:12,1ST,32
88,data/frames/game_6/frame_000088.jpg,0:11,1ST,32,TRUE,FALSE,FALSE,,1ST,32,0.9,linear_interpolation,45:30.8,0:12,1ST,32
89,data/frames/game_6/frame_000089.jpg,0:11,1ST,31,TRUE,FALSE,FALSE,,1ST,31,0.9,linear_interpolation,45:30.8,0:11,1ST,31
90,data/frames/game_6/frame_000090.jpg,0:10,1ST,31,TRUE,FALSE,FALSE,,1ST,31,0.9,linear_interpolation,45:30.8,0:11,1ST,31
91,data/frames/game_6/frame_000091.jpg,0:10,1ST,30,FALSE,FALSE,FALSE,0:10,1ST,30,0,,45:30.8,0:10,1ST,30
92,data/frames/game_6/frame_000092.jpg,0:10,1ST,30,FALSE,FALSE,FALSE,0:10,1ST,30,0,,45:30.8,0:10,1ST,30
93,data/frames/game_6/frame_000093.jpg,0:09,1ST,29,FALSE,FALSE,FALSE,0:09,1ST,29,0,,45:30.8,0:09,1ST,29
94,data/frames/game_6/frame_000094.jpg,0:09,1ST,29,FALSE,FALSE,FALSE,0:09,1ST,29,0,,45:30.8,0:09,1ST,29
95,data/frames/game_6/frame_000095.jpg,0:08,1ST,40,FALSE,FALSE,FALSE,0:08,1ST,40,0,,45:30.8,0:08,1ST,40
96,data/frames/game_6/frame_000096.jpg,0:08,1ST,40,FALSE,FALSE,FALSE,0:08,1ST,40,0,,45:30.8,0:08,1ST,40
97,data/frames/game_6/frame_000097.jpg,0:07,1ST,40,FALSE,FALSE,FALSE,0:07,1ST,40,0,,45:30.8,0:07,1ST,40
98,data/frames/game_6/frame_000098.jpg,0:07,1ST,40,FALSE,FALSE,FALSE,0:07,1ST,40,0,,45:30.8,0:07,1ST,40
99,data/frames/game_6/frame_000099.jpg,0:06,1ST,40,FALSE,FALSE,FALSE,0:06,1ST,40,0,,45:30.8,0:06,1ST,40
100,data/frames/game_6/frame_000100.jpg,0:06,1ST,40,FALSE,FALSE,FALSE,0:06,1ST,40,0,,45:30.8,0:06,1ST,40
101,data/frames/game_6/frame_000101.jpg,0:05,1ST,40,FALSE,FALSE,FALSE,0:05,1ST,40,0,,45:30.8,0:05,1ST,40
102,data/frames/game_6/frame_000102.jpg,0:05,1ST,40,FALSE,FALSE,FALSE,0:05,1ST,40,0,,45:30.8,0:05,1ST,40
103,data/frames/game_6/frame_000103.jpg,0:04,1ST,40,TRUE,FALSE,FALSE,,1ST,40,0.9,linear_interpolation,45:30.8,0:04,1ST,40
104,data/frames/game_6/frame_000104.jpg,0:04,1ST,40,FALSE,FALSE,FALSE,0:04,1ST,40,0,,45:30.8,0:04,1ST,40
105,data/frames/game_6/frame_000105.jpg,0:03,1ST,40,FALSE,FALSE,FALSE,0:03,1ST,40,0,,45:30.8,0:03,1ST,40
106,data/frames/game_6/frame_000106.jpg,0:03,1ST,40,FALSE,FALSE,FALSE,0:03,1ST,40,0,,45:30.8,0:03,1ST,40
107,data/frames/game_6/frame_000107.jpg,0:02,1ST,40,FALSE,FALSE,FALSE,0:02,1ST,40,0,,45:30.8,0:02,1ST,40
108,data/frames/game_6/frame_000108.jpg,0:02,1ST,40,FALSE,FALSE,FALSE,0:02,1ST,40,0,,45:30.8,0:02,1ST,40
109,data/frames/game_6/frame_000109.jpg,0:01,1ST,39,FALSE,FALSE,FALSE,0:01,1ST,39,0,,45:30.8,0:01,1ST,39
110,data/frames/game_6/frame_000110.jpg,0:01,1ST,39,FALSE,FALSE,FALSE,0:01,1ST,39,0,,45:30.8,0:01,1ST,39
111,data/frames/game_6/frame_000111.jpg,0:00,1ST,38,FALSE,FALSE,FALSE,0:00,1ST,38,0,,45:30.8,0:00,1ST,38
112,data/frames/game_6/frame_000112.jpg,0:00,1ST,38,FALSE,FALSE,FALSE,0:00,1ST,38,0,,45:30.8,0:00,1ST,38
113,data/frames/game_6/frame_000113.jpg,0:00,1ST,37,FALSE,FALSE,FALSE,0:00,1ST,37,0,,45:30.8,0:00,1ST,37
114,data/frames/game_6/frame_000114.jpg,0:00,1ST,37,FALSE,FALSE,FALSE,0:00,1ST,37,0,,45:30.8,0:00,1ST,37
115,data/frames/game_6/frame_000115.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
116,data/frames/game_6/frame_000116.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
117,data/frames/game_6/frame_000117.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
118,data/frames/game_6/frame_000118.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
119,data/frames/game_6/frame_000119.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
120,data/frames/game_6/frame_000120.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
121,data/frames/game_6/frame_000121.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
122,data/frames/game_6/frame_000122.jpg,,1ST,,FALSE,FALSE,FALSE,,1ST,,0,,45:30.8,,1ST,
123,data/frames/game_6/frame_000123.jpg,,1ST,,FALSE,FALSE,FALSE,,1ST,,0,,45:30.8,,1ST,
124,data/frames/game_6/frame_000124.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
125,data/frames/game_6/frame_000125.jpg,,,,FALSE,FALSE,FALSE,,,,0,,45:30.8,,,
