frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp,expected_game_time,expected_period,expected_play_clock,matched_game_time,matched_period,matched_play_clock
1,data/frames/game_6/frame_000001.jpg,,1ST,10.0,False,False,False,,1ST,10.0,0.0,,45:30.8,,1ST,10.0,False,False,False
2,data/frames/game_6/frame_000002.jpg,,1ST,10.0,False,False,False,,1ST,10.0,0.0,,45:30.8,,1ST,10.0,False,False,False
3,data/frames/game_6/frame_000003.jpg,,1ST,10.0,False,False,False,,1ST,10.0,0.0,,45:30.8,,1ST,10.0,False,False,False
4,data/frames/game_6/frame_000004.jpg,,1ST,10.0,False,False,False,,1ST,10.0,0.0,,45:30.8,,1ST,10.0,False,False,False
5,data/frames/game_6/frame_000005.jpg,,1ST,10.0,False,False,False,,1ST,10.0,0.0,,45:30.8,,1ST,10.0,False,False,False
6,data/frames/game_6/frame_000006.jpg,0:53,1ST,9.0,True,False,False,,1ST,9.0,0.7,forward_extrapolation,45:30.8,0:53,1ST,9.0,True,False,False
7,data/frames/game_6/frame_000007.jpg,0:52,1ST,9.0,True,False,False,,1ST,9.0,0.7,forward_extrapolation,45:30.8,0:52,1ST,9.0,True,False,False
8,data/frames/game_6/frame_000008.jpg,0:52,1ST,40.0,True,False,False,,1ST,40.0,0.7,forward_extrapolation,45:30.8,0:52,1ST,40.0,True,False,False
9,data/frames/game_6/frame_000009.jpg,0:51,1ST,40.0,True,False,False,,1ST,40.0,0.7,forward_extrapolation,45:30.8,0:51,1ST,40.0,True,False,False
10,data/frames/game_6/frame_000010.jpg,0:51,1ST,40.0,True,False,False,,1ST,40.0,0.7,forward_extrapolation,45:30.8,0:51,1ST,40.0,True,False,False
11,data/frames/game_6/frame_000011.jpg,0:50,1ST,40.0,False,False,False,0:50,1ST,40.0,0.0,,45:30.8,0:50,1ST,40.0,False,False,False
12,data/frames/game_6/frame_000012.jpg,0:50,1ST,40.0,False,False,False,0:50,1ST,40.0,0.0,,45:30.8,0:50,1ST,40.0,False,False,False
13,data/frames/game_6/frame_000013.jpg,0:49,1ST,40.0,False,False,False,0:49,1ST,40.0,0.0,,45:30.8,0:49,1ST,40.0,False,False,False
14,data/frames/game_6/frame_000014.jpg,0:48,1ST,40.0,True,False,False,,1ST,40.0,0.9,linear_interpolation,45:30.8,0:49,1ST,40.0,False,False,False
15,data/frames/game_6/frame_000015.jpg,0:48,1ST,40.0,False,False,False,0:48,1ST,40.0,0.0,,45:30.8,0:48,1ST,40.0,False,False,False
16,data/frames/game_6/frame_000016.jpg,0:48,1ST,40.0,False,False,False,0:48,1ST,40.0,0.0,,45:30.8,0:48,1ST,40.0,False,False,False
17,data/frames/game_6/frame_000017.jpg,0:47,1ST,40.0,False,False,False,0:47,1ST,40.0,0.0,,45:30.8,0:47,1ST,40.0,False,False,False
18,data/frames/game_6/frame_000018.jpg,0:47,1ST,40.0,False,False,False,0:47,1ST,40.0,0.0,,45:30.8,0:47,1ST,40.0,False,False,False
19,data/frames/game_6/frame_000019.jpg,0:46,1ST,40.0,True,False,False,,1ST,40.0,0.9,linear_interpolation,45:30.8,0:46,1ST,40.0,True,False,False
20,data/frames/game_6/frame_000020.jpg,0:46,1ST,40.0,True,False,False,,1ST,40.0,0.9,linear_interpolation,45:30.8,0:46,1ST,40.0,True,False,False
21,data/frames/game_6/frame_000021.jpg,0:45,1ST,40.0,False,False,False,0:45,1ST,40.0,0.0,,45:30.8,0:45,1ST,40.0,False,False,False
22,data/frames/game_6/frame_000022.jpg,0:45,1ST,40.0,False,False,False,0:45,1ST,40.0,0.0,,45:30.8,0:45,1ST,40.0,False,False,False
23,data/frames/game_6/frame_000023.jpg,0:44,1ST,40.0,False,False,False,0:44,1ST,40.0,0.0,,45:30.8,0:44,1ST,40.0,False,False,False
24,data/frames/game_6/frame_000024.jpg,0:44,1ST,40.0,False,False,False,0:44,1ST,40.0,0.0,,45:30.8,0:44,1ST,40.0,False,False,False
25,data/frames/game_6/frame_000025.jpg,0:43,1ST,40.0,False,False,False,0:43,1ST,40.0,0.0,,45:30.8,0:43,1ST,40.0,False,False,False
26,data/frames/game_6/frame_000026.jpg,0:43,1ST,40.0,False,False,False,0:43,1ST,40.0,0.0,,45:30.8,0:43,1ST,40.0,False,False,False
27,data/frames/game_6/frame_000027.jpg,0:42,1ST,39.0,False,False,False,0:42,1ST,39.0,0.0,,45:30.8,0:42,1ST,39.0,False,False,False
28,data/frames/game_6/frame_000028.jpg,0:42,1ST,39.0,False,False,False,0:42,1ST,39.0,0.0,,45:30.8,0:42,1ST,39.0,False,False,False
29,data/frames/game_6/frame_000029.jpg,0:41,1ST,38.0,False,False,False,0:41,1ST,38.0,0.0,,45:30.8,0:41,1ST,38.0,False,False,False
30,data/frames/game_6/frame_000030.jpg,0:41,1ST,38.0,False,False,False,0:41,1ST,38.0,0.0,,45:30.8,0:41,1ST,38.0,False,False,False
31,data/frames/game_6/frame_000031.jpg,0:40,1ST,37.0,False,False,False,0:40,1ST,37.0,0.0,,45:30.8,0:40,1ST,37.0,False,False,False
32,data/frames/game_6/frame_000032.jpg,0:40,1ST,37.0,False,False,False,0:40,1ST,37.0,0.0,,45:30.8,0:40,1ST,37.0,False,False,False
33,data/frames/game_6/frame_000033.jpg,0:39,1ST,36.0,False,False,False,0:39,1ST,36.0,0.0,,45:30.8,0:39,1ST,36.0,False,False,False
34,data/frames/game_6/frame_000034.jpg,0:39,1ST,36.0,False,False,False,0:39,1ST,36.0,0.0,,45:30.8,0:39,1ST,36.0,False,False,False
35,data/frames/game_6/frame_000035.jpg,0:38,1ST,35.0,False,False,False,0:38,1ST,35.0,0.0,,45:30.8,0:38,1ST,35.0,False,False,False
36,data/frames/game_6/frame_000036.jpg,0:38,1ST,35.0,False,False,False,0:38,1ST,35.0,0.0,,45:30.8,0:38,1ST,35.0,False,False,False
37,data/frames/game_6/frame_000037.jpg,0:37,1ST,34.0,False,False,False,0:37,1ST,34.0,0.0,,45:30.8,0:37,1ST,34.0,False,False,False
38,data/frames/game_6/frame_000038.jpg,0:37,1ST,34.0,False,False,False,0:37,1ST,34.0,0.0,,45:30.8,0:37,1ST,34.0,False,False,False
39,data/frames/game_6/frame_000039.jpg,,,,False,False,False,,,,0.0,,45:30.8,,,,False,False,False
40,data/frames/game_6/frame_000040.jpg,,,,False,False,False,,,,0.0,,45:30.8,,,,False,False,False
41,data/frames/game_6/frame_000041.jpg,,,,False,False,False,,,,0.0,,45:30.8,,,,False,False,False
42,data/frames/game_6/frame_000042.jpg,,,,False,False,False,,,,0.0,,45:30.8,,,,False,False,False
43,data/frames/game_6/frame_000043.jpg,,,,False,False,False,,,,0.0,,45:30.8,,,,False,False,False
44,data/frames/game_6/frame_000044.jpg,0:00,,,False,False,False,0:00,,,0.0,,45:30.8,0:00,,,False,False,False
45,data/frames/game_6/frame_000045.jpg,,,,False,False,False,,,,0.0,,45:30.8,,,,False,False,False
46,data/frames/game_6/frame_000046.jpg,0:00,,,False,False,False,0:00,,,0.0,,45:30.8,0:00,,,False,False,False
47,data/frames/game_6/frame_000047.jpg,,,,False,False,False,,,,0.0,,45:30.8,,,,False,False,False
48,data/frames/game_6/frame_000048.jpg,0:00,,,False,False,False,0:00,,,0.0,,45:30.8,0:00,,,False,False,False
49,data/frames/game_6/frame_000049.jpg,0:00,,,False,False,False,0:00,,,0.0,,45:30.8,0:00,,,False,False,False
50,data/frames/game_6/frame_000050.jpg,0:00,,,False,False,False,0:00,,,0.0,,45:30.8,0:00,,,False,False,False
51,data/frames/game_6/frame_000051.jpg,0:00,,,False,False,False,0:00,,,0.0,,45:30.8,0:00,,,False,False,False
52,data/frames/game_6/frame_000052.jpg,0:00,,,False,False,False,0:00,,,0.0,,45:30.8,0:00,,,False,False,False
53,data/frames/game_6/frame_000053.jpg,0:00,,,False,False,False,0:00,,,0.0,,45:30.8,0:00,,,False,False,False
54,data/frames/game_6/frame_000054.jpg,0:00,,,False,False,False,0:00,,,0.0,,45:30.8,0:00,,,False,False,False
55,data/frames/game_6/frame_000055.jpg,0:00,,,False,False,False,0:00,,,0.0,,45:30.8,0:00,,,False,False,False
56,data/frames/game_6/frame_000056.jpg,,1ST,25.0,False,False,False,,1ST,25.0,0.0,,45:30.8,,1ST,25.0,False,False,False
57,data/frames/game_6/frame_000057.jpg,,1ST,24.0,False,False,False,,1ST,24.0,0.0,,45:30.8,,1ST,24.0,False,False,False
58,data/frames/game_6/frame_000058.jpg,,1ST,24.0,False,False,False,,1ST,24.0,0.0,,45:30.8,,1ST,24.0,False,False,False
59,data/frames/game_6/frame_000059.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
60,data/frames/game_6/frame_000060.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
61,data/frames/game_6/frame_000061.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
62,data/frames/game_6/frame_000062.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
63,data/frames/game_6/frame_000063.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
64,data/frames/game_6/frame_000064.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
65,data/frames/game_6/frame_000065.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
66,data/frames/game_6/frame_000066.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
67,data/frames/game_6/frame_000067.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
68,data/frames/game_6/frame_000068.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
69,data/frames/game_6/frame_000069.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
70,data/frames/game_6/frame_000070.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
71,data/frames/game_6/frame_000071.jpg,,1ST,40.0,False,False,False,,1ST,40.0,0.0,,45:30.8,,1ST,40.0,False,False,False
72,data/frames/game_6/frame_000072.jpg,0:20,1ST,40.0,True,False,False,,1ST,40.0,0.7,forward_extrapolation,45:30.8,0:20,1ST,40.0,True,False,False
73,data/frames/game_6/frame_000073.jpg,0:19,1ST,39.0,True,False,False,,1ST,39.0,0.7,forward_extrapolation,45:30.8,0:19,1ST,39.0,True,False,False
74,data/frames/game_6/frame_000074.jpg,0:19,1ST,39.0,True,False,False,,1ST,39.0,0.7,forward_extrapolation,45:30.8,0:19,1ST,39.0,True,False,False
75,data/frames/game_6/frame_000075.jpg,0:18,1ST,38.0,True,False,False,,1ST,38.0,0.7,forward_extrapolation,45:30.8,0:18,1ST,38.0,True,False,False
76,data/frames/game_6/frame_000076.jpg,0:18,1ST,38.0,True,False,False,,1ST,38.0,0.7,forward_extrapolation,45:30.8,0:18,1ST,38.0,True,False,False
77,data/frames/game_6/frame_000077.jpg,0:17,1ST,37.0,False,False,False,0:17,1ST,37.0,0.0,,45:30.8,0:17,1ST,37.0,False,False,False
78,data/frames/game_6/frame_000078.jpg,0:16,1ST,37.0,True,False,False,,1ST,37.0,0.9,linear_interpolation,45:30.8,0:17,1ST,37.0,False,False,False
79,data/frames/game_6/frame_000079.jpg,0:16,1ST,36.0,True,False,False,,1ST,36.0,0.9,linear_interpolation,45:30.8,0:16,1ST,36.0,True,False,False
80,data/frames/game_6/frame_000080.jpg,0:15,1ST,36.0,True,False,False,,1ST,36.0,0.9,linear_interpolation,45:30.8,0:16,1ST,36.0,False,False,False
81,data/frames/game_6/frame_000081.jpg,0:15,1ST,35.0,True,False,False,,1ST,35.0,0.9,linear_interpolation,45:30.8,0:15,1ST,35.0,True,False,False
82,data/frames/game_6/frame_000082.jpg,0:14,1ST,35.0,True,False,False,,1ST,35.0,0.9,linear_interpolation,45:30.8,0:15,1ST,35.0,False,False,False
83,data/frames/game_6/frame_000083.jpg,0:14,1ST,34.0,True,False,False,,1ST,34.0,0.9,linear_interpolation,45:30.8,0:14,1ST,34.0,True,False,False
84,data/frames/game_6/frame_000084.jpg,0:13,1ST,34.0,True,False,False,,1ST,34.0,0.9,linear_interpolation,45:30.8,0:14,1ST,34.0,False,False,False
85,data/frames/game_6/frame_000085.jpg,0:13,1ST,33.0,True,False,False,,1ST,33.0,0.9,linear_interpolation,45:30.8,0:13,1ST,33.0,True,False,False
86,data/frames/game_6/frame_000086.jpg,0:12,1ST,33.0,True,False,False,,1ST,33.0,0.9,linear_interpolation,45:30.8,0:13,1ST,33.0,False,False,False
87,data/frames/game_6/frame_000087.jpg,0:12,1ST,32.0,False,False,False,0:12,1ST,32.0,0.0,,45:30.8,0:12,1ST,32.0,False,False,False
88,data/frames/game_6/frame_000088.jpg,0:11,1ST,32.0,True,False,False,,1ST,32.0,0.9,linear_interpolation,45:30.8,0:12,1ST,32.0,False,False,False
89,data/frames/game_6/frame_000089.jpg,0:11,1ST,31.0,True,False,False,,1ST,31.0,0.9,linear_interpolation,45:30.8,0:11,1ST,31.0,True,False,False
90,data/frames/game_6/frame_000090.jpg,0:10,1ST,31.0,True,False,False,,1ST,31.0,0.9,linear_interpolation,45:30.8,0:11,1ST,31.0,False,False,False
